Pulse,Freq,Inductance,1/L,Load
5265,94.9668,1.7022,0.5874750323,-10
4472,111.8068,1.2281,0.8142659393,-10
4301,116.252,1.1359,0.8803591865,-10
4255,117.5088,1.1118,0.8994423457,-10
4223,118.3992,1.0951,0.9131586157,-10
4191,119.3033,1.0786,0.9271277582,-10
4192,119.2748,1.0791,0.9266981744,-10
4179,119.6458,1.0724,0.9324878777,-10
4179,119.6458,1.0724,0.9324878777,-10
4161,120.1634,1.0632,0.9405568096,-10
4173,119.8179,1.0693,0.9351912466,-10
4169,119.9328,1.0673,0.9369436897,-10
4166,120.0192,1.0658,0.9382623381,-10
4164,120.0768,1.0647,0.9392317085,-10
4166,120.0192,1.0658,0.9382623381,-10
4170,119.9041,1.0678,0.9365049635,-10
4166,120.0192,1.0658,0.9382623381,-10
4163,120.1057,1.0642,0.9396729938,-10
4161,120.1634,1.0632,0.9405568096,-10
4163,120.1057,1.0642,0.9396729938,-10
4162,120.1346,1.0637,0.940114694,-10
4170,119.9041,1.0678,0.9365049635,-10
4169,119.9328,1.0673,0.9369436897,-10
4160,120.1923,1.0627,0.9409993413,-10
4155,120.3369,1.0601,0.9433072352,-10
4165,120.048,1.0652,0.9387908374,-10
4158,120.2501,1.0617,0.9418856551,-10
4163,120.1057,1.0642,0.9396729938,-10
4160,120.1923,1.0627,0.9409993413,-10
4165,120.048,1.0652,0.9387908374,-10
4167,119.9904,1.0663,0.9378223764,-10
4158,120.2501,1.0617,0.9418856551,-10
4162,120.1346,1.0637,0.940114694,-10
4162,120.1346,1.0637,0.940114694,-10
4169,119.9328,1.0673,0.9369436897,-10
4160,120.1923,1.0627,0.9409993413,-10
4153,120.3949,1.0591,0.9441979039,-10
4157,120.279,1.0612,0.9423294384,-10
4159,120.2212,1.0622,0.9414422896,-10
4162,120.1346,1.0637,0.940114694,-10
4164,120.0768,1.0647,0.9392317085,-10
4163,120.1057,1.0642,0.9396729938,-10
4166,120.0192,1.0658,0.9382623381,-10
4161,120.1634,1.0632,0.9405568096,-10
4157,120.279,1.0612,0.9423294384,-10
4157,120.279,1.0612,0.9423294384,-10
4164,120.0768,1.0647,0.9392317085,-10
4163,120.1057,1.0642,0.9396729938,-10
4161,120.1634,1.0632,0.9405568096,-10
4161,120.1634,1.0632,0.9405568096,-10
,,1.1588,0.8629616845,-9
,,1.0848,0.9218289086,-9
,,1.0745,0.9306654258,-9
,,1.0693,0.9351912466,-9
,,1.0678,0.9365049635,-9
,,1.0652,0.9387908374,-9
,,1.0637,0.940114694,-9
,,1.0627,0.9409993413,-9
,,1.0617,0.9418856551,-9
,,1.0632,0.9405568096,-9
,,1.0622,0.9414422896,-9
,,1.0627,0.9409993413,-9
,,1.0627,0.9409993413,-9
,,1.0622,0.9414422896,-9
,,1.0596,0.9437523594,-9
,,1.0606,0.9428625306,-9
,,1.0617,0.9418856551,-9
,,1.0606,0.9428625306,-9
,,1.0637,0.940114694,-9
,,1.0622,0.9414422896,-9
,,1.0617,0.9418856551,-9
,,1.0627,0.9409993413,-9
,,1.0622,0.9414422896,-9
,,1.0632,0.9405568096,-9
,,1.0606,0.9428625306,-9
,,1.0637,0.940114694,-9
,,1.0601,0.9433072352,-9
,,1.0601,0.9433072352,-9
,,1.0586,0.9446438693,-9
,,1.0627,0.9409993413,-9
,,1.0632,0.9405568096,-9
,,1.0601,0.9433072352,-9
,,1.0601,0.9433072352,-9
,,1.0596,0.9437523594,-9
,,1.0627,0.9409993413,-9
,,1.0627,0.9409993413,-9
,,1.0612,0.9423294384,-9
,,1.0622,0.9414422896,-9
,,1.0601,0.9433072352,-9
,,1.0596,0.9437523594,-9
,,1.0586,0.9446438693,-9
,,1.0606,0.9428625306,-9
,,1.0566,0.9464319515,-9
,,1.0617,0.9418856551,-9
,,1.0586,0.9446438693,-9
,,1.0586,0.9446438693,-9
,,1.0606,0.9428625306,-9
,,1.0586,0.9446438693,-9
,,1.0601,0.9433072352,-9
,,1.0566,0.9464319515,-9
,,1.0734,0.9316191541,-8
,,1.0561,0.9468800303,-8
,,1.0596,0.9437523594,-8
,,1.0591,0.9441979039,-8
,,1.0561,0.9468800303,-8
,,1.0586,0.9446438693,-8
,,1.0566,0.9464319515,-8
,,1.0576,0.9455370651,-8
,,1.0591,0.9441979039,-8
,,1.0561,0.9468800303,-8
,,1.0535,0.9492168961,-8
,,1.0571,0.9459842967,-8
,,1.054,0.9487666034,-8
,,1.0555,0.9474182852,-8
,,1.0545,0.9483167378,-8
,,1.0499,0.952471664,-8
,,1.0561,0.9468800303,-8
,,1.0561,0.9468800303,-8
,,1.054,0.9487666034,-8
,,1.0505,0.9519276535,-8
,,1.0515,0.951022349,-8
,,1.055,0.9478672986,-8
,,1.0535,0.9492168961,-8
,,1.0499,0.952471664,-8
,,1.0545,0.9483167378,-8
,,1.0545,0.9483167378,-8
,,1.0561,0.9468800303,-8
,,1.0545,0.9483167378,-8
,,1.053,0.9496676163,-8
,,1.0545,0.9483167378,-8
,,1.0545,0.9483167378,-8
,,1.0515,0.951022349,-8
,,1.054,0.9487666034,-8
,,1.0571,0.9459842967,-8
,,1.0535,0.9492168961,-8
,,1.054,0.9487666034,-8
,,1.055,0.9478672986,-8
,,1.0525,0.9501187648,-8
,,1.0525,0.9501187648,-8
