Pulse,Freq,Inductance,1/L,Load
3900,128.2051,0.934,1.070663812,0
3896,128.3368,0.9321,1.072846261,0
3901,128.1723,0.9345,1.070090958,0
3898,128.2709,0.933,1.071811361,0
3900,128.2051,0.934,1.070663812,0
3894,128.4027,0.9311,1.073998496,0
3898,128.2709,0.933,1.071811361,0
3898,128.2709,0.933,1.071811361,0
3893,128.4357,0.9306,1.074575543,0
3898,128.2709,0.933,1.071811361,0
3902,128.1394,0.935,1.069518717,0
3898,128.2709,0.933,1.071811361,0
3898,128.2709,0.933,1.071811361,0
3898,128.2709,0.933,1.071811361,0
3893,128.4357,0.9306,1.074575543,0
3899,128.238,0.9335,1.071237279,0
3903,128.1066,0.9354,1.069061364,0
3893,128.4357,0.9306,1.074575543,0
3896,128.3368,0.9321,1.072846261,0
3897,128.3038,0.9326,1.07227107,0
4025,124.2236,0.9948,1.005227181,83
3934,127.0971,0.9504,1.052188552,83
3919,127.5836,0.9431,1.060332945,83
3921,127.5185,0.9441,1.059209829,83
3917,127.6487,0.9422,1.061345786,83
3910,127.8772,0.9388,1.065189604,83
3912,127.8119,0.9398,1.064056182,83
3913,127.7792,0.9402,1.063603489,83
3917,127.6487,0.9422,1.061345786,83
3911,127.8445,0.9393,1.064622591,83
3911,127.8445,0.9393,1.064622591,83
3913,127.7792,0.9402,1.063603489,83
3908,127.9427,0.9378,1.066325443,83
3913,127.7792,0.9402,1.063603489,83
3915,127.7139,0.9412,1.062473438,83
3914,127.7466,0.9407,1.063038163,83
3909,127.91,0.9383,1.065757221,83
3912,127.8119,0.9398,1.064056182,83
3910,127.8772,0.9388,1.065189604,83
3915,127.7139,0.9412,1.062473438,83
4107,121.7434,1.0358,0.9654373431,166
3955,126.4223,0.9605,1.041124414,166
3932,127.1617,0.9494,1.053296819,166
3922,127.486,0.9446,1.058649164,166
3917,127.6487,0.9422,1.061345786,166
3916,127.6813,0.9417,1.061909313,166
3917,127.6487,0.9422,1.061345786,166
3919,127.5836,0.9431,1.060332945,166
3919,127.5836,0.9431,1.060332945,166
3920,127.551,0.9436,1.059771089,166
3916,127.6813,0.9417,1.061909313,166
3919,127.5836,0.9431,1.060332945,166
3915,127.7139,0.9412,1.062473438,166
3914,127.7466,0.9407,1.063038163,166
3914,127.7466,0.9407,1.063038163,166
3914,127.7466,0.9407,1.063038163,166
3918,127.6161,0.9426,1.060895396,166
3918,127.6161,0.9426,1.060895396,166
3918,127.6161,0.9426,1.060895396,166
3912,127.8119,0.9398,1.064056182,166
4118,121.4182,1.0413,0.960338039,249
3968,126.0081,0.9669,1.034233116,249
3936,127.0325,0.9513,1.051193104,249
3927,127.3237,0.947,1.055966209,249
3922,127.486,0.9446,1.058649164,249
3921,127.5185,0.9441,1.059209829,249
3919,127.5836,0.9431,1.060332945,249
3923,127.4535,0.945,1.058201058,249
3923,127.4535,0.945,1.058201058,249
3922,127.486,0.9446,1.058649164,249
3921,127.5185,0.9441,1.059209829,249
3923,127.4535,0.945,1.058201058,249
3926,127.3561,0.9465,1.056524036,249
3924,127.421,0.9455,1.05764146,249
3920,127.551,0.9436,1.059771089,249
3919,127.5836,0.9431,1.060332945,249
3919,127.5836,0.9431,1.060332945,249
3926,127.3561,0.9465,1.056524036,249
3920,127.551,0.9436,1.059771089,249
3920,127.551,0.9436,1.059771089,249
4036,123.885,1.0003,0.99970009,0
3929,127.2588,0.9479,1.054963604,0
3907,127.9754,0.9374,1.066780457,0
3893,128.4357,0.9306,1.074575543,0
3892,128.4687,0.9302,1.075037626,0
3888,128.6008,0.9283,1.077237962,0
3888,128.6008,0.9283,1.077237962,0
3897,128.3038,0.9326,1.07227107,0
3891,128.5017,0.9297,1.07561579,0
3893,128.4357,0.9306,1.074575543,0
3878,128.9324,0.9235,1.082837033,0
3885,128.7001,0.9268,1.078981442,0
3888,128.6008,0.9283,1.077237962,0
3888,128.6008,0.9283,1.077237962,0
3884,128.7333,0.9264,1.079447323,0
3881,128.8328,0.9249,1.081197967,0
3886,128.667,0.9273,1.078399655,0
3887,128.6339,0.9278,1.077818495,0
3887,128.6339,0.9278,1.077818495,0
3883,128.7664,0.9259,1.080030241,0
