Pulse,Freq,Inductance,1/L,Load
,,1.7471,0.572377082,-5
,,1.7425,0.5738880918,-5
,,1.7458,0.5728032993,-5
,,1.7543,0.5700279314,-5
,,1.753,0.570450656,-5
,,1.7511,0.5710696134,-5
,,1.7432,0.5736576411,-2.5
,,1.6432,0.6085686465,-2.5
,,1.628,0.6142506143,-2.5
,,1.6394,0.6099792607,-2.5
,,1.635,0.6116207951,-2.5
,,1.6369,0.6109108681,-2.5
,,1.6401,0.6097189196,-2.5
,,1.6432,0.6085686465,-2.5
,,1.6528,0.6050338819,-2.5
,,1.6464,0.6073858115,-2.5
,,1.6502,0.6059871531,-2.5
,,1.6413,0.6092731371,-2.5
,,1.6522,0.6052536013,-2.5
,,1.6566,0.603646022,-2.5
,,1.6522,0.6052536013,-2.5
,,1.6496,0.6062075655,-2.5
,,1.6496,0.6062075655,-2.5
,,1.6528,0.6050338819,-2.5
,,1.6604,0.6022645146,-2.5
,,1.6604,0.6022645146,-2.5
,,1.6592,0.6027000964,-2.5
,,1.663,0.6013229104,-2.5
,,1.6636,0.6011060351,-2.5
,,1.6579,0.6031726883,-2.5
,,1.6649,0.6006366749,-2.5
,,1.6592,0.6027000964,-2.5
,,1.6598,0.6024822268,-2.5
,,1.67,0.5988023952,-2.5
,,1.6598,0.6024822268,-2.5
,,1.6643,0.6008532116,-2.5
,,1.6611,0.6020107158,-2.5
,,1.6668,0.5999520038,-2.5
,,1.6726,0.5978715772,-2.5
,,1.6643,0.6008532116,-2.5
,,1.6675,0.5997001499,-2.5
,,1.6707,0.5985515054,-2.5
,,1.6649,0.6006366749,-2.5
,,1.6617,0.6017933442,-2.5
,,1.6675,0.5997001499,-2.5
,,1.6611,0.6020107158,-2.5
,,1.6624,0.6015399423,-2.5
,,1.6694,0.5990176111,-2.5
,,1.6713,0.5983366242,-2.5
,,1.67,0.5988023952,-2.5
,,1.6707,0.5985515054,-2.5
,,1.6797,0.5953444067,-2.5
,,1.6745,0.597193192,-2.5
,,1.6752,0.5969436485,-2.5
,,1.6732,0.5976571838,-2.5
,,1.6688,0.5992329818,-2.5
,,1.8949,0.5277323342,0
,,1.7132,0.5837030119,0
,,1.7054,0.5863726985,0
,,1.6983,0.5888241182,0
,,1.6925,0.5908419498,0
,,1.7016,0.5876821815,0
,,1.7029,0.5872335428,0
,,1.6996,0.588373735,0
,,1.7067,0.5859260561,0
,,1.7048,0.5865790709,0
,,1.7106,0.5845902023,0
,,1.7022,0.5874750323,0
,,1.7042,0.5867855885,0
,,1.7074,0.5856858381,0
,,1.708,0.5854800937,0
,,1.7048,0.5865790709,0
,,1.7061,0.5861321142,0
,,1.7067,0.5859260561,0
,,1.7087,0.5852402411,0
,,1.7119,0.5841462702,0
,,1.708,0.5854800937,0
,,1.7022,0.5874750323,0
,,1.7106,0.5845902023,0
,,1.7126,0.5839075091,0
,,1.7093,0.5850348096,0
,,1.7152,0.5830223881,0
,,1.7139,0.5834646129,0
,,1.708,0.5854800937,0
,,1.7119,0.5841462702,0
,,1.7054,0.5863726985,0
,,1.7093,0.5850348096,0
,,1.7145,0.5832604258,0
,,1.7171,0.582377264,0
,,1.7132,0.5837030119,0
,,1.7152,0.5830223881,0
,,1.7126,0.5839075091,0
,,1.7054,0.5863726985,0
,,1.7223,0.5806189398,0
,,1.7048,0.5865790709,0
,,1.71,0.5847953216,0
,,1.7106,0.5845902023,0
,,1.7061,0.5861321142,0
,,1.7197,0.5814967727,0
